entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,expediente-numero
Plan 54 escuelas,"Escuela de Educacion Primaria N.deg 24 D.E. 15 ""Francisco Morazan"" - Siglo XXI",Finalizada,Escuelas,Ministerio de Educacion,Primaria,67065700.0,12,villa urquiza,"rivera, pedro i., dr. 4221","-34,56715312","-58,47923657",2013-12-01,2016-05-31,29,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1.jpg,CribaS.A.,2013,Licitacion Publica,2030-MDUGC-2013,30505454436,914412-MDUGC-2013
Donado Holmberg,Calle Holmberg: Nivelacion en cruce,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creo un parque lineal planteado como un recorrido que incluyo pequenas plazas y genero continuidad fisica y espacial a lo largo de toda su traza, mediante la nivelacion de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomas le Breton, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.",9950017.0,12,villa urquiza,holmberg y olazabal av.,"-34,57053344","-58,47561404",2015-03-16,2016-07-15,16,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/nivelacioncrucesholmberg/nivelacion_holmberg.jpg,AltoteS.A,2014,Licitacion Publica,957/2014,30707431896,5515928/2014
Area Ambiental Central,Area Ambiental Central: Calles Alsina Y Moreno,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelacion, colocacion de darsenas de carga y descarga, nuevas luminarias y se reemplazo el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.",36942632.0,1,montserrat,"alsina, adolfo e irigoyen, bernardo de","-34,6107259","-58,38060019",2016-01-12,2017-11-15,22,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/3-1.jpg,RolIngenieriaS.A,2016,Licitacion Publica,640-SIGAF/16,30578447659,nan
Area Ambiental Central,Area Ambiental Central: Calle Esmeralda I,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"La obra incluyo el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelacion con el objetivo de dejar un carril central para transito liviano, restringiendo el paso de colectivos. Ademas, se intalaron nuevas luminarias y se plantaron arboles.",26938294.0,1,san nicolas,esmeralda y corrientes av.,"-34,60348697","-58,37807809",2014-10-27,2017-02-28,28,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal1.jpg,DalConstruccionesS.A,2014,Licitacion Publica,305/2014,30604370171,nan
Villa Olimpica,Villa Olimpica: Viviendas II,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La segunda licitacion comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.,148823367.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-02-15,2017-08-30,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-1.jpg,EMACOSA-CONSTRUCTORALANUSSESA-UTE,2015,Licitacion Publica,115/2015,30714969362,16.821.753-0GPUYAJ2014
Villa Olimpica,Villa Olimpica: Viviendas III,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,El tercer conjunto licitado comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.,179192366.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-02-25,2017-10-15,20,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-1.jpg,BriconsS.A.I.C.F.I.,2015,Licitacion Publica,329-329-MDUGC-2015,30541068151,1026045-1026045-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas IV,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La cuarta licitacion comprendio la construccion de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.,163279322.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-02-15,2017-08-30,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-1.jpg,DycasaS.A.,2015,Licitacion Publica,395/2015,33516294189,2.163.614-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas IX,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 9 contemplo la construccion de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,137837183.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-03-28,2018-02-15,23,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/9-1.jpg,CribaS.A.,2015,Licitacion Publica,580/2015,30505454436,12.809.363-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas V,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 5 contemplo la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.,166503404.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-03-15,2017-09-30,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-1.jpg,DycasaS.A.,2015,Licitacion Publica,396/2015,33516294189,2.254.226-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas VI,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 6 contemplo la construccion de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.,160833300.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-02-15,2017-08-30,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/11-1.jpg,CribaS.A.,2015,Licitacion Publica,450/2015,30505454436,EX-2015-03683859- -MGEYA-DGPUYA
